building_name,billing_system,building_code,postcode,classification,electricity_authority,water_authority
17A Ern Harley Drive,Blue Billing,30617,4220,Residential,,Gold Coast City Council
18 Blanck Street CTS 37361,Blue Billing,30135,4208,Residential,,Gold Coast City Council
18 to 20 David Street,Blue Billing,30379,4012,Residential,Energex,Urban Utilities
23 Breene Place,Blue Billing,30420,4170,SME,Energex,
25 Cambridge Parade On Behalf of Michael Powers,Blue Billing,30142,4179,SME,Energex,
26 Sankey Street,Blue Billing,30322,4152,Residential,,Urban Utilities
27 Park Avenue,Blue Billing,30324,4220,SME,,Gold Coast City Council
511 Olsen Avenue,Blue Billing,30245,4215,Residential,,Gold Coast City Council
52 Cunningham,Blue Billing,30336,4068,Residential,,Urban Utilities
67 St Pauls Terrace,Blue Billing,30236,4000,SME,Energex,
9SW CTS 49258,Blue Billing,30104,4075,Residential,,Urban Utilities
Alto Gladstone,Blue Billing,30438,4680,Residential,Ergon Energy,
Alton Place,Blue Billing,30754,4007,Residential,,
Arvia CTS 51778,Blue Billing,30161,4225,Residential,Energex,Gold Coast City Council
Baigle Pty Ltd ATF The Baigle Trust,Blue Billing,30021,4179,SME,,Urban Utilities
Beach House On Suttons CTS 34317,Blue Billing,30242,4020,Residential,Energex,Urban Utilities
Bell Place Centre,Blue Billing,30536,4213,SME,,Gold Coast City Council
Blanck Court,Blue Billing,30589,4208,SME,,Gold Coast City Council
Blue Gum Place CTS 8906,Blue Billing,30337,4227,Residential,,Gold Coast City Council
Caraford Gardens,Blue Billing,30742,4209,Residential,,Gold Coast City Council
Cascades By The Bay,Blue Billing,30401,4163,Residential,,Urban Utilities
City Connection,Blue Billing,30351,4215,Residential,,Gold Coast City Council
Compton Business Park,Blue Billing,30473,4119,SME,Energex,
Computer Court CTS 34886,Blue Billing,30247,4207,SME,,Gold Coast City Council
Coomera Outlook,Blue Billing,30295,4209,Residential,,Gold Coast City Council
Courtlin Pty Ltd,Blue Billing,30451,4006,SME,Energex,
DEPASQUALE FAMILY TRUST,Blue Billing,30029,4064,SME,Energex,
Esperian,Blue Billing,30387,4007,Residential,,Urban Utilities
Etro Metroplex On Gateway,Blue Billing,30251,4172,SME,,Urban Utilities
Evan Thomson Building,Blue Billing,30464,4066,SME,Energex,
Evergreen on Careel,Blue Billing,30235,4212,Residential,,Gold Coast City Council
Falkinder Apartments CTS 7871,Blue Billing,30188,4216,Residential,,Gold Coast City Council
Flinders Centre CTS 7909,Blue Billing,30147,4178,SME,Energex,
Forty Tuscany CTS 25724,Blue Billing,30549,4060,Residential,,Urban Utilities
Frenchville Shopping Centre,Blue Billing,30018,4701,SME,Energex,
Glades Glasswing,Blue Billing,30252,4226,Residential,,Gold Coast City Council
Habitat On Doolan,Blue Billing,30405,4560,Residential,Energex,
Harbour Lights Retail,Blue Billing,30458,4870,SME,,Ergon Energy
