building_name,utility,charge_name,charge_rate,charge_rate_unit
17A Ern Harley Drive,Water,Cold Water,4.98,$/kL
18 Blanck Street CTS 37361,Water,Cold Water,4.98,$/kL
18 Blanck Street CTS 37361,Water,Service Fee,0.414,$/account/day
18 to 20 David Street,Electricity,Electricity,0.27,$/kWh
18 to 20 David Street,Electricity,Service Fee,0.396,$/account/day
23 Breene Place,Electricity,Service Fee,1.5332,$/account/day
23 Breene Place,Electricity,Electricity,0.3344,$/kWh
26 Sankey Street,Water,Hot Water Heating,0.01472,$/L
26 Sankey Street,Water,Service Fee,0.616,$/account/day
27 Park Avenue,Water,Cold Water,4.98,$/kL
27 Park Avenue,Water,Service Fee,0.36,$/account/day
511 Olsen Avenue,Water,Cold Water,4.98,$/kL
511 Olsen Avenue,Water,Service Fee,0.396,$/account/day
52 Cunningham,Water,Hot Water Heating,0.02253,$/L
52 Cunningham,Water,Service Fee,0.715,$/account/day
9SW CTS 49258,Water,Hot Water Heating,0.04,$/L
9SW CTS 49258,Water,Service Fee,0.396,$/account/day
Alto Gladstone,Electricity,Electricity,0.29975,$/kWh
Alto Gladstone,Electricity,Service Fee,0.483,$/account/day
Alton Place,Hot Water,Hot Water Heating,0.033,$/L
Alton Place,Hot Water,Service Fee,1.081,$/account/day
Arvia CTS 51778,Electricity,Electricity,0.26,$/kWh
Arvia CTS 51778,Electricity,Service Fee,0.5337,$/account/day
Arvia CTS 51778,Water,Hot Water Heating,0.02,$/L
Arvia CTS 51778,Electricity,Unmetered Appliance,0.15,$/account/day
Baigle Pty Ltd ATF The Baigle Trust,Water,Cold Water,0.005555,$/L
Beach House On Suttons CTS 34317,Electricity,Electricity,0.205,$/kWh
Beach House On Suttons CTS 34317,Electricity,Service Fee,0.529,$/account/day
Beach House On Suttons CTS 34317,Water,Hot Water Heating,0.03,$/L
Bell Place Centre,Water,Cold Water,4.98,$/kL
Blanck Court,Water,Cold Water,4.98,$/kL
Blanck Court,Water,Service Fee,0.414,$/account/day
Lakes Vista Office Park Bldg 2 CTS 43166,Electricity,Electricity,0.36465,$/kWh
Lakes Vista Office Park Bldg 2 CTS 43166,Electricity,Service Fee,0.825,$/account/day
Blue Gum Place CTS 8906,Water,Cold Water,4.98,$/kL
Caraford Gardens,Water,Cold Water,4.98,$/kL
Cascades By The Bay,Water,Hot Water Heating,0.03266,$/L
Cascades By The Bay,Water,Hot Water Supply Charge,7.6,$/account/biLLing_period
Cascades By The Bay,Water,Service Fee,0.396,$/account/day
City Connection,Water,Cold Water,4.98,$/kL
City Connection,Water,Service Fee,0.36,$/account/day
Compton Business Park,Electricity,Electricity,0.21,$/kWh
Compton Business Park,Electricity,Service Fee,0.414,$/account/day
Computer Court CTS 34886,Water,Cold Water,4.98,$/kL
Computer Court CTS 34886,Water,Service Fee,0.4255,$/account/day
Coomera Outlook,Water,Cold Water,4.98,$/kL
Courtlin Pty Ltd,Electricity,,,$
Courtlin Pty Ltd,Gas,,,$
Courtlin Pty Ltd,Water,,,$
Courtlin Pty Ltd,Water,Cold Water,4.498,$/kL
Courtlin Pty Ltd,Water,Cold Water,5.555,$/kL
DEPASQUALE FAMILY TRUST,Electricity,Electricity,0.3256,$/kWh
DEPASQUALE FAMILY TRUST,Electricity,Service Fee,1.0925,$/account/day
Etro Metroplex On Gateway,Water,Sewage,43.24,$/account/biLLing_period
Etro Metroplex On Gateway,Water,Service Fee,0.36,$/account/day
Etro Metroplex On Gateway,Water,Cold Water Tier One,4.498,$/kL
Etro Metroplex On Gateway,Water,Cold Water Tier Two,5.555,$/kL
Etro Metroplex On Gateway,Water,Sewage,86.48,$/account/biLLing_period
Etro Metroplex On Gateway,Water,Service Fee,0.36,$/account/day
Etro Metroplex On Gateway,Water,Cold Water,4.498,$/kL
Etro Metroplex On Gateway,Water,Cold Water,5.555,$/kL
Etro Metroplex On Gateway,Water,Sewage,129.71,$/account/biLLing_period
Etro Metroplex On Gateway,Water,Service Fee,0.36,$/account/day
Etro Metroplex On Gateway,Water,Cold Water,4.498,$/kL
Etro Metroplex On Gateway,Water,Cold Water,5.555,$/kL
Etro Metroplex On Gateway,Water,Sewage,172.94,$/account/biLLing_period
Etro Metroplex On Gateway,Water,Service Fee,0.36,$/account/day
Etro Metroplex On Gateway,Water,Cold Water,4.498,$/kL
Etro Metroplex On Gateway,Water,Cold Water,5.555,$/kL
Etro Metroplex On Gateway,Water,Sewage,216.18,$/account/biLLing_period
Etro Metroplex On Gateway,Water,Service Fee,0.36,$/account/day
Etro Metroplex On Gateway,Water,Cold Water,4.498,$/kL
Etro Metroplex On Gateway,Water,Cold Water,5.555,$/kL
Evan Thomson Building,Electricity,Electricity,0.22,$/kWh
Evan Thomson Building,Electricity,Service Fee,0.575,$/account/day
Evergreen on Careel,Water,Cold Water,4.98,$/kL
Evergreen on Careel,Water,Service Fee,0.644,$/account/day
Falkinder Apartments CTS 7871,Water,Cold Water,4.98,$/kL
Flinders Centre CTS 7909,Electricity,Electricity,0.3344,$/kWh
Flinders Centre CTS 7909,Electricity,Service Fee,0.57,$/account/day
Forty Tuscany CTS 25724,Water,Hot Water Heating,0.03496,$/L
Forty Tuscany CTS 25724,Water,Service Fee,0.407,$/account/day
Glades Glasswing,Water,Cold Water Tier One,4.498,$/kL
Glades Glasswing,Water,Cold Water Tier Two,5.555,$/kL
Glades Glasswing,Water,Hot Water,0.02343,$/L
Habitat On Doolan,Electricity,Electricity,0.3204,$/kWh
Habitat On Doolan,Electricity,Service Fee,0.36,$/account/day
Harbour Lights Retail,Water,Cold Water,0.0017,$/L
Harbour Lights Retail,Water,Service Fee,0.3287,$/service point/day
Heritage Green,Water,Cold Water Tier One,4.498,$/kL
Heritage Green,Water,Cold Water Tier Two,5.555,$/kL
Hub 23,Electricity,Electricity,0.25,$/kWh
Hub 23,Electricity,Service Fee,0.8625,$/account/day
Iceworks,Water,Hot Water Heating,0.02204,$/L
Iceworks,Water,Cold Water Tier One,4.498,$/kL
Iceworks,Water,Cold Water Tier Two,5.555,$/kL
Ivory Burleigh Beach,Gas,Gas Supply Charge,1.2645,$/account/day
Ivory Burleigh Beach,Gas,Gas,0.0437,$/mj
Ivory Burleigh Beach,Gas,Gas,0.0407,$/mj
LAKES VISTA OFFICE PARK CTS 40533,Electricity,Electricity,0.3315,$/kWh
LAKES VISTA OFFICE PARK CTS 40533,Electricity,Service Fee,0.57,$/account/day
Lavender Park CTS 44106,Electricity,Electricity,0.3396,$/kWh
Lavender Park CTS 44106,Electricity,Service Fee,0.631255,$/account/day
Les Colonnades,Electricity,Electricity,0.22,$/kWh
Les Colonnades,Electricity,Service Fee,0.36,$/account/day
Lidospace,Electricity,Electricity,0.3344,$/kWh
Lidospace,Electricity,Service Fee,1.5332,$/account/day
Linear Place,Water,Service Fee,0.319,$/account/day
Linear Place,Water,Cold Water,4.98,$/kL
M25 Sherwood Apartments CTS 51238,Electricity,Electricity,0.33957,$/kWh
M25 Sherwood Apartments CTS 51238,Electricity,Service Fee,0.396,$/account/day
Mantra on Salt SP 73905,Electricity,Electricity,0.2,$/kWh
Mantra on Salt SP 73905,Electricity,Service Fee,2.1126,$/account/day
Mariners Caloundra,Electricity,Service Fee,0.39,$/account/day
Mariners Caloundra,Electricity,Electricity,0.182,$/kWh
Mariners Peninsula,Water,Hot Water Supply Charge,0.1546,$/account/day
Mariners Peninsula,Water,Hot Water Heating,0.0239,$/L
Mariners Peninsula,Water,Unmetered Appliance,0.485875,$/account/day
Northern Bay,Water,Cold Water,4.824,$/kL
Northern Bay,Water,Service Fee,0.51,$/account/day
Northern Bay,Water,Recycled water,3.092,$/kL
Northgate Court CTS 16648,Water,Cold Water Tier One,4.498,$/kL
Northgate Court CTS 16648,Water,Cold Water Tier Two,5.555,$/kL
One Macquarie,Electricity,Electricity,0.2,$/kWh
One Macquarie,Electricity,Service Fee,0.621,$/account/day
One Macquarie,Water,Hot Water Heating,0.01981,$/L
One Macquarie,Water,Unmetered Appliance,0.3,$/account/day
On The Bay Apartments CTS 36317,Electricity,Electricity,0.3204,$/kWh
On The Bay Apartments CTS 36317,Electricity,Service Fee,0.6555,$/account/day
On The Bay Apartments CTS 36317,Water,Hot Water,0.02343,$/L
On The Bay Apartments CTS 36317,Water,Cold Water Tier One,0.004304,$/L
On The Bay Apartments CTS 36317,Water,Cold Water Tier Two,0.005087,$/L
On The Beach Resort Bribie Island CTS 35674,Electricity,Electricity,0.3204,$/kWh
On The Beach Resort Bribie Island CTS 35674,Electricity,Service Fee,0.57,$/account/day
On The Beach Resort Bribie Island CTS 35674,Water,Hot Water,0.0175,$/L
On The Beach Resort Bribie Island CTS 35674,Water,Cold Water Tier One,0.004304,$/L
On The Beach Resort Bribie Island CTS 35674,Water,Cold Water Tier Two,0.005087,$/L
Oxley Circle CTS 3858,Electricity,Electricity,0.17,$/kWh
Oxley Circle CTS 3858,Electricity,Service Fee,0.58,$/account/day
Oxley Circle CTS 3858,Water,Cold Water,4.98,$/kL
Pandanus Pocket SP 79530,Electricity,Electricity,0.401,$/kWh
Pandanus Pocket SP 79530,Electricity,Service Fee,0.46,$/account/day
Pandanus Pocket SP 79530,Water,Cold Water Tier One,4.08,$/kL
Pandanus Pocket SP 79530,Water,Cold Water Tier Two,6.47,$/kL
Pavilion Arcade Airlie Beach,Electricity,Electricity,0.32365,$/kWh
Pavilion Arcade Airlie Beach,Electricity,Service Fee,1.82788,$/account/day
Pavilion Arcade Airlie Beach Demand Tariff,Electricity,Market Charges,29.473,$/kW/month
Pavilion Arcade Airlie Beach Demand Tariff,Electricity,Service Fee,47.3057,$/account/day
Petrel Sands CTS 30982,Water,Cold Water,4.98,$/kL
Petrel Sands CTS 30982,Water,Service Fee,0.616,$/account/day
Plains Junction 1 CTS 23700,Electricity,Electricity,0.165,$/kWh
